WRN 2026-06-21T18:01:58.727 ui.8227    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:01:58.727 ui.8227    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:01:58.727 ui.8227    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:01:58.727 ui.8227    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:01:58.727 ui.8227    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
WRN 2026-06-21T18:02:51.863 ui.8603    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:02:51.863 ui.8603    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:02:51.863 ui.8603    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:02:51.863 ui.8603    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:02:51.863 ui.8603    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
WRN 2026-06-21T18:02:58.073 ui.8687    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:02:58.073 ui.8687    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:02:58.073 ui.8687    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:02:58.073 ui.8687    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:02:58.073 ui.8687    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
WRN 2026-06-21T18:03:23.230 ui.8804    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:03:23.230 ui.8804    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:03:23.230 ui.8804    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:03:23.230 ui.8804    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:03:23.230 ui.8804    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
WRN 2026-06-21T18:04:03.224 ui.8972    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:04:03.224 ui.8972    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:04:03.224 ui.8972    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:04:03.224 ui.8972    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:04:03.224 ui.8972    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
WRN 2026-06-21T18:04:46.574 ui.9114    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-21T18:04:46.574 ui.9114    tui_handle_term_mode:226: TUI: terminal mode 2026 unavailable, state 4
WRN 2026-06-21T18:04:46.574 ui.9114    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 4
WRN 2026-06-21T18:04:46.574 ui.9114    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T18:04:46.574 ui.9114    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 4
